tD,WeD,PD_>100,PD_Lee,PD_Fanchi,PD_Edw.,PD-used,,,Min.,Max.,Diff.,Mean,SD
0,0,#NUM!,#NUM!,#NUM!,0,0,,tD,0,2E+12,2E+12,1.81E+10,1.35E+11
85,37.851,2.625860628,2.646195035,2.642746294,2.643870047,2.643870047,,,,,,,
86,38.207,2.631708648,2.651922872,2.648758384,2.649546672,2.649546672,,,,,,,
87,38.563,2.637489059,2.657585266,2.654704463,2.655159316,2.655159316,,,,,,,
88,38.919,2.643203407,2.663183672,2.660585952,2.660709408,2.660709408,,,,,,,
89,39.272,2.648853185,2.668719492,2.666404225,2.666198332,2.666198332,,,,,,,
90,39.626,2.654439835,2.674194085,2.672160613,2.671627428,2.671627428,,,,,,,
91,39.979,2.659964753,2.679608767,2.677856404,2.676997988,2.676997988,,,,,,,
92,40.331,2.665429289,2.68496481,2.683492845,2.682311266,2.682311266,,,,,,,
93,40.684,2.670834747,2.690263449,2.689071146,2.687568474,2.687568474,,,,,,,
94,41.034,2.676182391,2.695505877,2.694592478,2.692770787,2.692770787,,,,,,,
95,41.385,2.681473446,2.700693253,2.700057976,2.697919342,2.697919342,,,,,,,
96,41.735,2.686709096,2.705826699,2.705468744,2.703015243,2.703015243,,,,,,,
97,42.084,2.691890489,2.710907305,2.710825849,2.708059559,2.708059559,,,,,,,
98,42.433,2.697018739,2.715936127,2.716130329,2.713053325,2.713053325,,,,,,,
99,42.781,2.702094925,2.720914189,2.72138319,2.717997548,2.717997548,,,,,,,
100,43.129,2.707120093,2.725842487,2.726585412,2.722893204,2.722893204,,,,,,,
105,44.858,2.731515175,2.749770386,2.751869237,2.746675176,2.746675176,,,,,,,
110,46.574,2.754775183,2.772588089,2.776018806,2.769374076,2.769374076,,,,,,,
115,48.277,2.777001064,2.794392304,2.799129437,2.791084416,2.791084416,,,,,,,
120,49.968,2.798280871,2.815267714,2.821284738,2.811888814,2.811888814,,,,,,,
125,51.648,2.818691869,2.835288897,2.842558458,2.831859907,2.831859907,,,,,,,
130,53.317,2.838302225,2.854521873,2.863015996,2.851061903,2.851061903,,,,,,,
135,54.976,2.857172389,2.873025375,2.882715622,2.869551837,2.869551837,,,,,,,
140,56.625,2.875356211,2.890851878,2.901709487,2.887380601,2.887380601,,,,,,,
145,58.265,2.892901871,2.908048464,2.920044456,2.9045938,2.9045938,,,,,,,
150,59.895,2.909852647,2.924657537,2.937762802,2.921232459,2.921232459,,,,,,,
155,61.517,2.926247558,2.94071742,2.954902799,2.937333618,2.937333618,,,,,,,
160,63.131,2.942121908,2.956262867,2.971499205,2.952930834,2.952930834,,,,,,,
165,64.737,2.957507737,2.971325492,2.987583692,2.968054603,2.968054603,,,,,,,
170,66.336,2.972434219,2.985934132,3.003185198,2.982732724,2.982732724,,,,,,,
175,67.928,2.986927987,3.000115169,3.018330237,2.996990605,2.996990605,,,,,,,
180,69.512,3.001013425,3.013892795,3.033043167,3.010851535,3.010851535,,,,,,,
185,71.09,3.014712913,3.027289251,3.047346414,3.024336912,3.024336912,,,,,,,
190,72.661,3.028047036,3.040325029,3.061260678,3.037466439,3.037466439,,,,,,,
195,74.226,3.041034779,3.053019051,3.074805104,3.050258305,3.050258305,,,,,,,
200,75.785,3.053693683,3.065388825,3.087997435,3.062729331,3.062729331,,,,,,,
205,77.338,3.06603999,3.077450581,3.100854148,3.074895107,3.074895107,,,,,,,
210,78.886,3.078088765,3.08921939,3.113390574,3.086770111,3.086770111,,,,,,,
215,80.428,3.089854014,3.100709276,3.125620998,3.098367807,3.098367807,,,,,,,
220,81.965,3.101348773,3.111933305,3.137558757,3.109700744,3.109700744,,,,,,,
225,83.497,3.112585201,3.122903674,3.149216322,3.120780634,3.120780634,,,,,,,
230,85.023,3.123574654,3.133631783,3.16060537,3.131618424,3.131618424,,,,,,,
235,86.545,3.134327757,3.144128301,3.171736853,3.142224364,3.142224364,,,,,,,
240,88.062,3.144854462,3.154403231,3.182621055,3.152608065,3.152608065,,,,,,,
245,89.575,3.155164105,3.16446596,3.193267647,3.162778548,3.162778548,,,,,,,
250,91.084,3.165265459,3.17432531,3.203685736,3.172744294,3.172744294,,,,,,,
255,92.589,3.175166773,3.183989579,3.213883906,3.182513287,3.182513287,,,,,,,
260,94.09,3.184875816,3.193466584,3.223870259,3.19209305,3.19209305,,,,,,,
265,95.588,3.194399913,3.202763698,3.233652452,3.201490681,3.201490681,,,,,,,
270,97.081,3.203745979,3.211887876,3.243237725,3.210712884,3.210712884,,,,,,,
275,98.571,3.212920549,3.220845694,3.252632937,3.219766,3.219766,,,,,,,
280,100.057,3.221929802,3.229643369,3.261844587,3.22865603,3.22865603,,,,,,,
285,101.54,3.23077959,3.238286786,3.270878842,3.237388658,3.237388658,,,,,,,
290,103.019,3.239475461,3.246781522,3.279741559,3.245969278,3.245969278,,,,,,,
295,104.495,3.248022678,3.255132865,3.288438304,3.254403009,3.254403009,,,,,,,
300,105.968,3.256426237,3.263345836,3.296974375,3.262694713,3.262694713,,,,,,,
305,107.437,3.264690888,3.2714252,3.305354812,3.270849017,3.270849017,,,,,,,
310,108.904,3.272821149,3.279375489,3.313584423,3.278870322,3.278870322,,,,,,,
315,110.367,3.280821319,3.287201015,3.321667789,3.286762821,3.286762821,,,,,,,
320,111.827,3.288695498,3.294905881,3.329609285,3.294530513,3.294530513,,,,,,,
325,113.284,3.296447591,3.302493995,3.337413088,3.30217721,3.30217721,,,,,,,
330,114.738,3.304081327,3.309969084,3.345083192,3.309706552,3.309706552,,,,,,,
335,116.189,3.311600266,3.317334702,3.352623415,3.317122019,3.317122019,,,,,,,
340,117.638,3.319007809,3.324594239,3.360037413,3.324426936,3.324426936,,,,,,,
345,119.083,3.326307209,3.331750935,3.367328687,3.331624484,3.331624484,,,,,,,
350,120.526,3.333501577,3.338807886,3.374500592,3.338717708,3.338717708,,,,,,,
355,121.966,3.340593895,3.345768048,3.381556345,3.345709526,3.345709526,,,,,,,
360,123.403,3.347587016,3.352634253,3.388499033,3.352602735,3.352602735,,,,,,,
365,124.838,3.354483677,3.359409209,3.39533162,3.359400017,3.359400017,,,,,,,
370,126.72,3.361286503,3.366095509,3.402056952,3.366103944,3.366103944,,,,,,,
375,127.699,3.367998013,3.372695637,3.408677766,3.372716989,3.372716989,,,,,,,
380,129.126,3.374620626,3.379211974,3.415196692,3.379241525,3.379241525,,,,,,,
385,130.55,3.381156667,3.385646802,3.421616264,3.385679835,3.385679835,,,,,,,
390,131.972,3.38760837,3.392002311,3.427938917,3.392034113,3.392034113,,,,,,,
395,133.391,3.393977882,3.398280602,3.434166998,3.398306472,3.398306472,,,,,,,
400,134.808,3.400267274,3.404483693,3.44030277,3.404498943,3.404498943,,,,,,,
405,136.223,3.406478534,3.410613519,3.446348412,3.410613485,3.406478534,,,,,,,
410,137.635,3.41261358,3.416671942,3.452306027,3.416651986,3.41261358,,,,,,,
415,139.045,3.41867426,3.422660752,3.458177645,3.422616262,3.41867426,,,,,,,
420,140.453,3.424662356,3.428581666,3.463965222,3.42850807,3.424662356,,,,,,,
425,141.859,3.430579584,3.434436338,3.469670652,3.434329102,3.430579584,,,,,,,
430,143.262,3.436427604,3.440226361,3.47529576,3.440080992,3.436427604,,,,,,,
435,144.664,3.442208016,3.445953263,3.480842314,3.445765317,3.442208016,,,,,,,
440,146.064,3.447922363,3.451618519,3.48631202,3.451383602,3.447922363,,,,,,,
445,147.461,3.453572141,3.457223548,3.49170653,3.456937321,3.453572141,,,,,,,
450,148.856,3.459158791,3.462769717,3.497027443,3.462427897,3.459158791,,,,,,,
455,150.249,3.464683709,3.468258341,3.502276305,3.46785671,3.464683709,,,,,,,
460,151.64,3.470148245,3.473690689,3.507454614,3.473225091,3.470148245,,,,,,,
465,153.029,3.475553703,3.479067985,3.512563822,3.478534332,3.475553703,,,,,,,
470,154.416,3.480901347,3.484391407,3.517605335,3.483785681,3.480901347,,,,,,,
475,155.801,3.486192402,3.489662091,3.522580514,3.488980349,3.486192402,,,,,,,
480,157.184,3.491428052,3.494881135,3.527490683,3.494119509,3.491428052,,,,,,,
485,158.565,3.496609445,3.500049597,3.532337123,3.499204296,3.496609445,,,,,,,
490,159.945,3.501737696,3.505168496,3.537121078,3.504235814,3.501737696,,,,,,,
495,161.322,3.506813881,3.510238818,3.541843755,3.509215131,3.506813881,,,,,,,
500,162.698,3.511839049,3.515261513,3.546506326,3.514143283,3.511839049,,,,,,,
510,165.444,3.521740363,3.525167663,3.555655671,3.52385009,3.521740363,,,,,,,
520,168.183,3.531449406,3.534893916,3.564577835,3.53336394,3.531449406,,,,,,,
525,169.549,3.536234131,3.539691631,3.568956317,3.538050794,3.536234131,,,,,,,
530,170.914,3.540973503,3.544446775,3.57328106,3.542692102,3.540973503,,,,,,,
540,173.639,3.55031957,3.553832307,3.58177314,3.551841441,3.55031957,,,,,,,
550,176.357,3.559494139,3.563056176,3.590061455,3.560818448,3.559494139,,,,,,,
560,179.069,3.568503392,3.572123674,3.598152999,3.569629269,3.568503392,,,,,,,
570,181.774,3.57735318,3.581039744,3.606054405,3.578279724,3.57735318,,,,,,,
575,183.124,3.58172002,3.585442449,3.609935788,3.582546551,3.58172002,,,,,,,
580,184.473,3.586049052,3.589809004,3.613771974,3.586775335,3.586049052,,,,,,,
590,187.166,3.594596268,3.598435772,3.621311694,3.595121343,3.594596268,,,,,,,
600,189.852,3.602999828,3.606924081,3.628679259,3.603322727,3.602999828,,,,,,,
610,192.533,3.611264479,3.615277702,3.635880091,3.611384223,3.611264479,,,,,,,
620,195.208,3.619394739,3.623500159,3.642919358,3.619310338,3.619394739,,,,,,,
625,196.544,3.623410825,3.627563238,3.646379953,3.623223976,3.623410825,,,,,,,
630,197.878,3.62739491,3.631594743,3.649801986,3.627105363,3.62739491,,,,,,,
640,200.542,3.635269088,3.63956453,3.656532676,3.634773392,3.635269088,,,,,,,
650,203.201,3.643021181,3.647412392,3.663115919,3.642318327,3.643021181,,,,,,,
660,205.854,3.650654918,3.655141008,3.669556004,3.649743895,3.650654918,,,,,,,
670,208.502,3.658173856,3.662752877,3.675857035,3.657053657,3.658173856,,,,,,,
675,209.825,3.661891345,3.666515767,3.67895664,3.66066618,3.661891345,,,,,,,
680,211.145,3.665581399,3.670250331,3.682022941,3.664251016,3.665581399,,,,,,,
690,213.784,3.672880799,3.67763554,3.688057481,3.671339229,3.672880799,,,,,,,
700,216.417,3.680075168,3.684910522,3.693964259,3.678321411,3.680075168,,,,,,,
710,219.046,3.687167485,3.692077156,3.69974673,3.68520055,3.687167485,,,,,,,
720,221.67,3.694160606,3.699137185,3.705408211,3.691979507,3.694160606,,,,,,,
725,222.98,3.697620827,3.702627731,3.708194579,3.695332279,3.697620827,,,,,,,
730,224.289,3.701057267,3.706092223,3.710951882,3.698661026,3.701057267,,,,,,,
740,226.904,3.707860093,3.712943766,3.716380801,3.705247741,3.707860093,,,,,,,
